"","date","yn","day","night","dd","month","year"
"121",2015-12-02,1,1,0,1,12,2015
"122",2015-12-03,0,0,0,0,12,2015
"123",2015-12-04,1,1,0,1,12,2015
"124",2015-12-05,1,1,0,1,12,2015
"125",2015-12-06,1,1,0,1,12,2015
"126",2015-12-07,1,1,0,1,12,2015
"127",2015-12-08,1,1,0,1,12,2015
"128",2015-12-09,1,1,0,1,12,2015
"129",2015-12-10,1,1,0,1,12,2015
"130",2015-12-11,1,1,0,0,12,2015
"131",2015-12-12,1,1,0,1,12,2015
"132",2015-12-13,1,1,0,1,12,2015
"133",2015-12-14,1,1,0,1,12,2015
"134",2015-12-15,0,0,0,0,12,2015
"135",2015-12-16,1,1,0,1,12,2015
"136",2015-12-17,1,1,0,1,12,2015
"137",2015-12-18,0,0,0,0,12,2015
"138",2015-12-19,0,0,0,0,12,2015
"139",2015-12-20,0,0,0,0,12,2015
"140",2015-12-21,0,0,0,0,12,2015
"141",2015-12-22,0,0,0,0,12,2015
"142",2015-12-23,0,0,0,0,12,2015
"143",2015-12-24,0,0,0,0,12,2015
"144",2015-12-25,0,0,0,0,12,2015
"145",2015-12-26,0,0,0,0,12,2015
"146",2015-12-27,1,1,0,0,12,2015
"147",2015-12-28,1,0,0,1,12,2015
"148",2015-12-29,1,1,0,0,12,2015
"149",2015-12-30,1,1,0,1,12,2015
"150",2015-12-31,1,0,0,1,12,2015
"151",2016-01-01,0,0,0,0,1,2016
"152",2016-01-02,0,0,0,0,1,2016
"153",2016-01-03,0,0,0,0,1,2016
"154",2016-01-04,1,0,0,1,1,2016
"155",2016-01-05,0,0,0,0,1,2016
"156",2016-01-06,0,0,0,0,1,2016
"157",2016-01-07,0,0,0,0,1,2016
"158",2016-01-08,1,0,0,1,1,2016
"159",2016-01-09,0,0,0,0,1,2016
"160",2016-01-10,0,0,0,0,1,2016
"161",2016-01-11,1,1,0,0,1,2016
"162",2016-01-12,1,1,0,1,1,2016
"163",2016-01-13,0,0,0,0,1,2016
"164",2016-01-14,0,0,0,0,1,2016
"165",2016-01-15,0,0,0,0,1,2016
"166",2016-01-16,0,0,0,0,1,2016
"167",2016-01-17,0,0,0,0,1,2016
"168",2016-01-18,1,1,0,0,1,2016
"169",2016-01-19,1,0,0,1,1,2016
"170",2016-01-20,1,1,0,1,1,2016
"171",2016-01-23,0,0,0,0,1,2016
"172",2016-01-24,1,1,0,0,1,2016
"173",2016-01-25,1,1,0,0,1,2016
"174",2016-01-26,1,1,0,0,1,2016
"175",2016-01-27,1,1,0,1,1,2016
"176",2016-01-28,1,1,0,1,1,2016
"177",2016-01-29,1,1,0,1,1,2016
"178",2016-01-30,1,1,0,1,1,2016
"179",2016-01-31,1,1,0,1,1,2016
"180",2016-02-01,0,0,0,0,2,2016
"181",2016-02-02,1,1,0,1,2,2016
"182",2016-02-03,0,0,0,0,2,2016
"183",2016-02-09,1,1,0,1,2,2016
"184",2016-02-10,1,1,0,0,2,2016
"185",2016-02-11,1,1,0,0,2,2016
"186",2016-02-12,1,1,0,1,2,2016
"187",2016-02-14,1,1,0,0,2,2016
"188",2016-02-15,1,1,0,1,2,2016
"189",2016-02-16,1,1,0,1,2,2016
