"year","month","perc","n_rate","d_rate","dd_rate","ratio"
2015,8,33.3333333333333,4.45354094071013,4.62275709123618,7.43533364626825,1.03799586728377
2015,9,20,2.09964719043112,3.03672545505989,1.59765750102942,1.44630272595291
2015,10,50,4.87647757005634,18.2047106791635,7.04842465427933,3.73316813573556
2015,11,55.1724137931034,17.233825984284,33.681625881377,16.4183033002632,1.95439050574679
2015,12,64.5161290322581,27.3134261805318,45.4433740567904,48.5998482677232,1.6637742096662
2016,1,51.7241379310345,14.9141883493707,8.61200164192521,2.92365549223635,0.577436829962563
2016,2,86.9565217391304,8.60016200386317,23.1407571326958,6.91219678852067,2.69073502595661
2016,3,54.8387096774194,7.52267827180279,30.3515911872705,12.9437840016119,4.0346788857151
2016,4,63.3333333333333,13.4854431338939,34.483812311036,24.1845864071574,2.55711376842823
2016,5,83.8709677419355,30.1569147081386,12.2922269628129,18.6112519006589,0.407608904351728
2016,6,40.7407407407407,3.28046567529988,7.7826152229395,1.43849611769514,2.37241172237782
2016,7,48.3870967741936,3.51646226101463,24.1612564851303,4.0923041946118,6.87089884427164
2016,8,58.6206896551724,11.7382722066529,15.8689497101254,21.3486779532053,1.35189825476456
2016,9,65.5172413793103,9.61148016836737,19.1950155559462,9.33730795689062,1.99709256219656
2016,10,100,52.6653386015695,60.0437609596375,63.8622675323912,1.14010015987722
2016,11,70,11.1700465575234,24.4170225789847,25.7880785997503,2.18593740440043
2016,12,45.1612903225806,1.10480486587417,1.37441027681464,1.78221560277737,1.24402989095015
2017,1,46.6666666666667,15.7314293669577,6.86217532306533,4.92580930158802,0.436207998840757
2017,2,42.8571428571429,9.514904196957,18.32834240985,10.3991690161745,1.92627713642263
2017,3,58.0645161290323,56.1562189713378,16.0148310695774,18.5609292974422,0.285183571168696
2017,4,56.6666666666667,9.79097142321649,7.49313257776843,6.94033307598985,0.765310432834132
2017,5,38.7096774193548,3.83154302825606,12.0562517422468,4.81722779229899,3.1465787160256
2017,6,20,8.06721371452464,4.01573130620048,6.32991018985183,0.49778417286384
2017,7,22.5806451612903,11.2155638633806,4.51538044369332,3.73558538940751,0.402599503573446
2017,8,51.6129032258064,8.45508735645875,10.8318626988724,4.42908907053173,1.28110594748594
2017,9,30,13.8560595221062,18.4616777718248,14.7830067753159,1.33239018945977
2017,10,45.1612903225806,10.1553362874133,8.91125150664542,5.79277236964929,0.877494477232642
2017,11,86.6666666666667,8.92099972211779,19.2332613907725,11.7007053616707,2.15595359151145
2017,12,77.4193548387097,10.9617448831317,17.6020005264543,14.1902313624679,1.60576630035798
2018,1,71.4285714285714,11.7024263774882,16.6558520693073,18.1508132084771,1.42328193590245
2018,2,75,31.276371112634,18.9023343551049,28.0583659565814,0.604364690744744
2018,3,66.6666666666667,30.3660658728736,24.4761982526333,22.075426503074,0.80603784352909
2018,4,70,46.9828128656491,43.4137481570119,21.9761205888195,0.924034673725406
2018,5,45.1612903225806,4.62073603413492,7.26321559425697,5.48148437347493,1.57187416476535
2018,6,24.1379310344828,6.37511277722215,3.5422267801214,6.64012350694727,0.55563358702885
2018,7,32.258064516129,0.989513961204078,4.84806512439048,2.58899676375405,4.89944085123486
2018,8,48.3870967741936,11.4910379725214,2.74137843893728,12.6683102598141,0.238566650418591
2018,9,30,0.147811473531434,2.10373922681928,0,14.2325840921402
2018,10,25.8064516129032,0.419351640725686,27.0863322406222,12.8948537907742,64.5909771421174
2018,11,63.3333333333333,10.0075657681416,23.0419187115898,18.725485585289,2.30244989095571
2018,12,51.6129032258064,6.93493206953334,15.9470649328678,7.80117531831538,2.29952720127234
2019,1,41.9354838709677,12.2298004537006,10.3331186538224,2.94527695454356,0.844913103279275
2019,2,50,8.94128219699473,14.6437961687743,14.3335761107065,1.63777362643763
2019,3,64.5161290322581,12.6537785588752,44.0750191667334,30.6756032171582,3.4831508202599
2019,4,54.1666666666667,11.5907594381036,18.3305660377358,23.4305503878188,1.58148101818727
2019,5,67.741935483871,18.9974054855448,20.9579828159627,20.0566505831103,1.10320237318247
2019,6,53.8461538461538,6.24730122778859,2.76564866229177,8.72819716121743,0.442694943216425
2019,7,38.7096774193548,15.7711044862939,15.3213183161353,8.06127659574468,0.9714803633094
2019,8,38.7096774193548,6.94420705652546,7.16147157190636,7.09756249093959,1.03128715973075
2019,9,23.3333333333333,2.03021425260109,5.48393597967899,2.88046891354406,2.70116120633722
2019,10,45.1612903225806,1.94198140831594,9.18670002538163,1.87224963328444,4.73058083153752
2019,11,33.3333333333333,2.43951984502022,5.52172595266305,0.110540860639558,2.26344785181171
2019,12,58.0645161290323,10.514576189485,20.1084208834402,18.6322169840201,1.91243284760726
2020,1,61.2903225806452,25.8062929242074,15.1810293660439,11.3712748789672,0.588268505307225
2020,2,58.6206896551724,2.7277835481619,13.6458547669956,3.74806546921165,5.0025430999431
2020,3,54.8387096774194,10.9905171726831,22.9699134330165,14.3295583997856,2.08997566466738
2020,4,36.6666666666667,62.4164642347029,16.2167455524727,22.7266515308484,0.2598151906121
2020,5,45.1612903225806,11.9180087847731,10.6283791362872,3.7893998167677,0.891791517209353
2020,6,40,5.39147242290511,5.06526970056582,12.0794951197523,0.939496542548666
2020,7,32.258064516129,13.2068173576695,13.0595396746511,5.88016826467579,0.988848359220103
2020,8,13.6363636363636,0.0410918696800704,0.322966507177033,0.141342756183746,7.85962064251538
2020,9,36.6666666666667,1.7287573603674,7.08276059997281,0.906593406593407,4.0970241182184
2020,10,41.9354838709677,11.7384060326067,19.2732833321197,8.59238188363927,1.64189952865686
