Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	51.091343750	51.118968750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	51.091343750	51.118968750	1400.000	4000.000	1.0000
2	Waveform 1	1	51.411468750	51.432593750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	51.411468750	51.432593750	1400.000	4000.000	1.0000
3	Waveform 1	1	96.791218750	96.799343750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	96.791218750	96.799343750	1400.000	4000.000	1.0000
4	Waveform 1	1	157.873343750	157.887968750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	157.873343750	157.887968750	1400.000	4000.000	1.0000
5	Waveform 1	1	196.681593750	196.710843750	1400.000	4000.000	0.9444
5	Spectrogram 1	1	196.681593750	196.710843750	1400.000	4000.000	0.9444
6	Waveform 1	1	203.108468750	203.131218750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	203.108468750	203.131218750	1400.000	4000.000	1.0000
7	Waveform 1	1	397.525093750	397.539718750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	397.525093750	397.539718750	1400.000	4000.000	1.0000
8	Waveform 1	1	557.243093750	557.254468750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	557.243093750	557.254468750	1400.000	4000.000	1.0000
9	Waveform 1	1	559.220718750	559.230468750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	559.220718750	559.230468750	1400.000	4000.000	1.0000
10	Waveform 1	1	560.844093750	560.860343750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	560.844093750	560.860343750	1400.000	4000.000	1.0000
11	Waveform 1	1	561.456718750	561.476218750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	561.456718750	561.476218750	1400.000	4000.000	1.0000
12	Waveform 1	1	561.534718750	561.560718750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	561.534718750	561.560718750	1400.000	4000.000	1.0000
